"id_transacao","compl_transacao","tipo_registro","data_geracao_arquivo","grupo_indicador","cod_indicador","valor_indicador","num_casas_decimais","reserva"
81,1,1,2014-12-11,"indicadores-agro","SOY-PA-US$",23.07,2,""
82,1,1,2014-12-12,"indicadores-agro","SOY-PA-US$",23,2,""
83,1,1,2014-12-11,"moeda-estrangeira","DOF-T1",2.6271,4,""
84,1,1,2014-12-12,"moeda-estrangeira","DOF-T1",2.6558,4,""
85,1,1,2014-12-11,"moeda-estrangeira","DOF-T3",2.6268,4,""
86,1,1,2014-12-12,"moeda-estrangeira","DOF-T3",2.6555,4,""
87,1,1,2014-12-11,"moeda-estrangeira","DOL-T1",2.6271,4,""
88,1,1,2014-12-12,"moeda-estrangeira","DOL-T1",2.6558,4,""
89,1,1,2014-12-11,"moeda-estrangeira","DOL-T2",2.6265,4,""
90,1,1,2014-12-12,"moeda-estrangeira","DOL-T2",2.6552,4,""
91,1,1,2014-12-11,"moeda-estrangeira","DOL-T3",2.6268,4,""
92,1,1,2014-12-12,"moeda-estrangeira","DOL-T3",2.6555,4,""
93,1,1,2014-12-11,"indicadores-gerais","ALB-PA",1937.75,3,""
94,1,1,2014-12-12,"indicadores-gerais","ALB-PA",1927.75,3,""
95,1,1,2014-12-11,"indicadores-gerais","ALB-T1-S",1927.75,3,""
96,1,1,2014-12-12,"indicadores-gerais","ALB-T1-S",1913.15,3,""
97,1,1,2014-12-11,"indicadores-gerais","ALB-T2-S",1927.75,3,""
98,1,1,2014-12-12,"indicadores-gerais","ALB-T2-S",1913.15,3,""
99,1,1,2014-12-11,"indicadores-gerais","AUD-PF",0.827,4,""
100,1,1,2014-12-12,"indicadores-gerais","AUD-PF",0.8256,4,""
101,1,1,2014-12-11,"indicadores-gerais","AUD-T1",2.1734,7,""
102,1,1,2014-12-12,"indicadores-gerais","AUD-T1",2.19,7,""
103,1,1,2014-12-11,"indicadores-gerais","AUD-T2",2.1724,7,""
104,1,1,2014-12-12,"indicadores-gerais","AUD-T2",2.1889,7,""
105,1,1,2014-12-11,"indicadores-gerais","BOV-MN",47.45,2,""
106,1,1,2014-12-12,"indicadores-gerais","BOV-MN",46.63,2,""
107,1,1,2014-12-11,"indicadores-gerais","BOV-MX",48.62,2,""
108,1,1,2014-12-12,"indicadores-gerais","BOV-MX",48.33,2,""
109,1,1,2014-12-11,"indicadores-gerais","BOV-PA",48.12,2,""
110,1,1,2014-12-12,"indicadores-gerais","BOV-PA",48.17,2,""
111,1,1,2014-12-11,"indicadores-gerais","BOV-PF",48.37,2,""
112,1,1,2014-12-12,"indicadores-gerais","BOV-PF",46.75,2,""
113,1,1,2014-12-11,"indicadores-gerais","BOV-PM",48.08,2,""
114,1,1,2014-12-12,"indicadores-gerais","BOV-PM",47.3,2,""
115,1,1,2014-12-11,"indicadores-gerais","CAD-PF",1.1529,4,""
116,1,1,2014-12-12,"indicadores-gerais","CAD-PF",1.1553,4,""
117,1,1,2014-12-11,"indicadores-gerais","CAD-T1",2.2809,7,""
118,1,1,2014-12-12,"indicadores-gerais","CAD-T1",2.296,7,""
119,1,1,2014-12-11,"indicadores-gerais","CAD-T2",2.2798,7,""
120,1,1,2014-12-12,"indicadores-gerais","CAD-T2",2.2949,7,""
121,1,1,2014-12-11,"indicadores-gerais","CBB-PA",6475.5,3,""
122,1,1,2014-12-12,"indicadores-gerais","CBB-PA",6517.5,3,""
123,1,1,2014-12-11,"indicadores-gerais","CBB-T1-S",6517.5,3,""
124,1,1,2014-12-12,"indicadores-gerais","CBB-T1-S",6542.25,3,""
125,1,1,2014-12-11,"indicadores-gerais","CBB-T2-S",6517.5,3,""
126,1,1,2014-12-12,"indicadores-gerais","CBB-T2-S",6542.25,3,""
127,1,1,2014-12-11,"indicadores-gerais","CHF-PF",0.97,4,""
128,1,1,2014-12-12,"indicadores-gerais","CHF-PF",0.9642,4,""
129,1,1,2014-12-11,"indicadores-gerais","CLP-PF",615.88,4,""
130,1,1,2014-12-12,"indicadores-gerais","CLP-PF",618.78,4,""
131,1,1,2014-12-11,"indicadores-gerais","CNI",27.24,2,""
132,1,1,2014-12-12,"indicadores-gerais","CNI",27.44,2,""
133,1,1,2014-12-11,"indicadores-gerais","CNY-PF",6.1889,4,""
134,1,1,2014-12-12,"indicadores-gerais","CNY-PF",6.1884,4,""
135,1,1,2014-12-11,"indicadores-gerais","DAU-W1",0.82535,7,""
136,1,1,2014-12-12,"indicadores-gerais","DAU-W1",0.8249,7,""
137,1,1,2014-12-11,"indicadores-gerais","DCA-W1",1.15295,7,""
138,1,1,2014-12-12,"indicadores-gerais","DCA-W1",1.1544,7,""
139,1,1,2014-12-11,"indicadores-gerais","DCH-W1",0.97015,7,""
140,1,1,2014-12-12,"indicadores-gerais","DCH-W1",0.96375,7,""
141,1,1,2014-12-11,"indicadores-gerais","DCL-W1",616.30499,7,""
142,1,1,2014-12-12,"indicadores-gerais","DCL-W1",618.199985,7,""
143,1,1,2014-12-11,"indicadores-gerais","DCN-W1",6.1886,7,""
144,1,1,2014-12-12,"indicadores-gerais","DCN-W1",6.1869,7,""
145,1,1,2014-12-11,"indicadores-gerais","DGB-W1",1.5696,7,""
